docname	wiki	rank
berlin_wall_7.html	Wilhelm_von_Schulte	20
berlin_wall_5.html	Berlin_Wall	1
berlin_wall_5.html	Berlin_border_crossings	2
berlin_wall_5.html	Brandenburg_Gate	3
berlin_wall_5.html	List_of_deaths_at_the_Berlin_Wall	4
berlin_wall_5.html	German_reunification	5
berlin_wall_5.html	Peaceful_Revolution	6
berlin_wall_5.html	Fall_of_the_inner_German_border	7
berlin_wall_5.html	Bornholmer_Straße_border_crossing	8
berlin_wall_5.html	East_Berlin	9
berlin_wall_5.html	West_Berlin	10
berlin_wall_5.html	Chris_Gueffroy	11
berlin_wall_5.html	World_War_III_(film)	12
berlin_wall_5.html	Steinstücken	13
berlin_wall_5.html	Egon_Krenz	14
berlin_wall_5.html	Checkpoint_Charlie	15
berlin_wall_5.html	Eastern_Bloc_emigration_and_defection	16
berlin_wall_5.html	East_Germany	17
berlin_wall_5.html	Tear_down_this_wall!	18
berlin_wall_5.html	History_of_Berlin	19
berlin_wall_5.html	Iron_Curtain	20
berlin_wall_9.html	Brandenburg_Gate	1
berlin_wall_9.html	Berlin_Wall	2
berlin_wall_9.html	Tear_down_this_wall!	3
berlin_wall_9.html	Pariser_Platz	4
berlin_wall_9.html	Berlin_border_crossings	5
berlin_wall_9.html	Berlin_Customs_Wall	6
berlin_wall_9.html	World_War_III_(film)	7
berlin_wall_9.html	Brandenburg_(disambiguation)	8
berlin_wall_9.html	Potsdam	9
berlin_wall_9.html	Mitte_(locality)	10
berlin_wall_9.html	Wikipedia:Featured_picture_candidates/Image:Brandenburg_Gate_Quadriga	11
berlin_wall_9.html	German_reunification	12
berlin_wall_9.html	Mitte	13
berlin_wall_9.html	Wikipedia:Selected_anniversaries/November_9	14
berlin_wall_9.html	Puhdys	15
berlin_wall_9.html	The_Europe_Winter_2006_Church_Tour_DVD	16
berlin_wall_9.html	Architecture_in_Berlin	17
berlin_wall_9.html	John_C._Kornblum	18
berlin_wall_9.html	Küstrin	19
berlin_wall_9.html	Teltow	20
berlin_wall_2.html	Berlin_Wall	1
berlin_wall_2.html	Brandenburg_Gate	2
berlin_wall_2.html	Tear_down_this_wall!	3
berlin_wall_2.html	Alexanderplatz_demonstration	4
berlin_wall_2.html	List_of_Berlin_Wall_segments	5
berlin_wall_2.html	Berlin_border_crossings	6
berlin_wall_2.html	Checkpoint_Charlie	7
berlin_wall_2.html	White_Crosses	8
berlin_wall_2.html	Berlin_Customs_Wall	9
berlin_wall_2.html	Puhdys	10
berlin_wall_2.html	Karat_(band)	11
berlin_wall_2.html	World_War_III_(film)	12
berlin_wall_2.html	Bornholmer_Straße_border_crossing	13
berlin_wall_2.html	Wikipedia:Selected_anniversaries/November_9	14
berlin_wall_2.html	Steinstücken	15
berlin_wall_2.html	History_of_Berlin	16
berlin_wall_2.html	Günter_Schabowski	17
berlin_wall_2.html	Conrad_Schumann	18
berlin_wall_2.html	Wende_Museum	19
